Error 1 | Link is down. | 1970-01-01 00:00:33
Error 4 | Link failure. | 1970-01-01 00:00:33
Error 1 | Link is down. | 1970-01-01 00:00:33
Error 4 | Link failure. | 1970-01-01 00:00:33
Error 1 | Link is down. | 1970-01-01 00:00:33
Error 4 | Link failure. | 1970-01-01 00:00:33
Error 1 | Link is down. | 1970-01-01 00:00:33
Error 4 | Link failure. | 1970-01-01 00:00:33
Error 1 | Link is down. | 1970-01-01 00:00:34
Error 4 | Link failure. | 1970-01-01 00:00:34
Error 1 | Link is down. | 1970-01-01 00:00:34
Error 4 | Link failure. | 1970-01-01 00:00:34
Error 1 | Link is down. | 1970-01-01 00:00:34
Error 4 | Link failure. | 1970-01-01 00:00:34
Error 1 | Link is down. | 1970-01-01 00:00:34
Error 4 | Link failure. | 1970-01-01 00:00:34
Error 1 | Link is down. | 1970-01-01 00:00:35
Error 4 | Link failure. | 1970-01-01 00:00:35
Error 1 | Link is down. | 1970-01-01 00:00:35
Error 4 | Link failure. | 1970-01-01 00:00:35
Error 1 | Link is down. | 1970-01-01 00:00:35
Error 4 | Link failure. | 1970-01-01 00:00:35
Error 1 | Link is down. | 1970-01-01 00:00:35
Error 4 | Link failure. | 1970-01-01 00:00:35
Error 1 | Link is down. | 1970-01-01 00:00:36
Error 4 | Link failure. | 1970-01-01 00:00:36
Error 1 | Link is down. | 1970-01-01 00:00:36
Error 4 | Link failure. | 1970-01-01 00:00:36
Error 1 | Link is down. | 1970-01-01 00:00:36
Error 4 | Link failure. | 1970-01-01 00:00:36
Error 1 | Link is down. | 1970-01-01 00:00:36
Error 4 | Link failure. | 1970-01-01 00:00:36
Error 1 | Link is down. | 1970-01-01 00:00:37
Error 4 | Link failure. | 1970-01-01 00:00:37
Error 1 | Link is down. | 1970-01-01 00:00:37
Error 4 | Link failure. | 1970-01-01 00:00:37
Error 1 | Link is down. | 1970-01-01 00:00:37
Error 4 | Link failure. | 1970-01-01 00:00:37
Error 1 | Link is down. | 1970-01-01 00:00:37
Error 4 | Link failure. | 1970-01-01 00:00:37
