Error 1 | Link is down. | 1970-01-01 00:07:36
Error 4 | Link failure. | 1970-01-01 00:07:36
Error 1 | Link is down. | 1970-01-01 00:07:36
Error 4 | Link failure. | 1970-01-01 00:07:36
Error 1 | Link is down. | 1970-01-01 00:07:37
Error 4 | Link failure. | 1970-01-01 00:07:37
Error 1 | Link is down. | 1970-01-01 00:07:37
Error 4 | Link failure. | 1970-01-01 00:07:37
Error 1 | Link is down. | 1970-01-01 00:07:37
Error 4 | Link failure. | 1970-01-01 00:07:37
Error 1 | Link is down. | 1970-01-01 00:07:37
Error 4 | Link failure. | 1970-01-01 00:07:37
Error 1 | Link is down. | 1970-01-01 00:07:38
Error 4 | Link failure. | 1970-01-01 00:07:38
Error 1 | Link is down. | 1970-01-01 00:07:38
Error 4 | Link failure. | 1970-01-01 00:07:38
Error 1 | Link is down. | 1970-01-01 00:07:38
Error 4 | Link failure. | 1970-01-01 00:07:38
Error 1 | Link is down. | 1970-01-01 00:07:38
Error 4 | Link failure. | 1970-01-01 00:07:38
Error 1 | Link is down. | 1970-01-01 00:07:39
Error 4 | Link failure. | 1970-01-01 00:07:39
Error 1 | Link is down. | 1970-01-01 00:07:39
Error 4 | Link failure. | 1970-01-01 00:07:39
Error 1 | Link is down. | 1970-01-01 00:07:39
Error 4 | Link failure. | 1970-01-01 00:07:39
Error 1 | Link is down. | 1970-01-01 00:07:39
Error 4 | Link failure. | 1970-01-01 00:07:39
Error 1 | Link is down. | 1970-01-01 00:07:40
Error 4 | Link failure. | 1970-01-01 00:07:40
Error 1 | Link is down. | 1970-01-01 00:07:40
Error 4 | Link failure. | 1970-01-01 00:07:40
Error 1 | Link is down. | 1970-01-01 00:07:40
Error 4 | Link failure. | 1970-01-01 00:07:40
Error 1 | Link is down. | 1970-01-01 00:07:40
Error 4 | Link failure. | 1970-01-01 00:07:40
Error 1 | Link is down. | 1970-01-01 00:07:41
Error 4 | Link failure. | 1970-01-01 00:07:41
Error 1 | Link is down. | 1970-01-01 00:07:41
Error 4 | Link failure. | 1970-01-01 00:07:41
Error 1 | Link is down. | 1970-01-01 00:07:41
Error 4 | Link failure. | 1970-01-01 00:07:41
Error 1 | Link is down. | 1970-01-01 00:07:41
Error 4 | Link failure. | 1970-01-01 00:07:41
Error 1 | Link is down. | 1970-01-01 00:07:42
Error 4 | Link failure. | 1970-01-01 00:07:42
Error 1 | Link is down. | 1970-01-01 00:07:42
Error 4 | Link failure. | 1970-01-01 00:07:42
Error 1 | Link is down. | 1970-01-01 00:07:42
Error 4 | Link failure. | 1970-01-01 00:07:42
Error 1 | Link is down. | 1970-01-01 00:07:42
Error 4 | Link failure. | 1970-01-01 00:07:42
Error 1 | Link is down. | 1970-01-01 00:07:43
Error 4 | Link failure. | 1970-01-01 00:07:43
Error 1 | Link is down. | 1970-01-01 00:07:43
Error 4 | Link failure. | 1970-01-01 00:07:43
Error 1 | Link is down. | 1970-01-01 00:07:43
Error 4 | Link failure. | 1970-01-01 00:07:43
Error 1 | Link is down. | 1970-01-01 00:07:43
Error 4 | Link failure. | 1970-01-01 00:07:43
Error 1 | Link is down. | 1970-01-01 00:07:44
Error 4 | Link failure. | 1970-01-01 00:07:44
Error 1 | Link is down. | 1970-01-01 00:07:44
Error 4 | Link failure. | 1970-01-01 00:07:44
Error 1 | Link is down. | 1970-01-01 00:07:44
Error 4 | Link failure. | 1970-01-01 00:07:44
Error 1 | Link is down. | 1970-01-01 00:07:44
Error 4 | Link failure. | 1970-01-01 00:07:44
Error 1 | Link is down. | 1970-01-01 00:07:45
Error 4 | Link failure. | 1970-01-01 00:07:45
Error 1 | Link is down. | 1970-01-01 00:07:45
Error 4 | Link failure. | 1970-01-01 00:07:45
Error 1 | Link is down. | 1970-01-01 00:07:45
Error 4 | Link failure. | 1970-01-01 00:07:45
Error 1 | Link is down. | 1970-01-01 00:07:45
Error 4 | Link failure. | 1970-01-01 00:07:45
Error 1 | Link is down. | 1970-01-01 00:07:46
Error 4 | Link failure. | 1970-01-01 00:07:46
